K,Method,Silhouette,Davies_Bouldin,Calinski_Harabasz
2,Hierarchical,0.3711090474272042,1.2157510094248287,2125.289812481947
2,K-Means,0.3765402784723968,1.2428572083268394,2175.234359418061
3,Hierarchical,0.3775917472257659,0.8884338666605635,1625.555523512953
3,K-Means,0.2142974309635136,1.6936733325683748,1702.5310761839487
4,Hierarchical,0.2870509473604289,1.230762298044494,1434.8850809774847
4,K-Means,0.2541886970355445,1.4227859014443178,1652.8611135532024
5,Hierarchical,0.22665571612863772,1.4852379739219095,1337.1429899009029
5,K-Means,0.24220662356425637,1.3961682939374627,1608.733729422535
