K,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz
2,422712.79015828855,0.3765402784723968,1.2428572083268394,2175.234359418061
3,365985.7602310716,0.2142974309635136,1.6936733325683748,1702.5310761839487
4,312926.35901257774,0.2541886970355445,1.4227859014443178,1652.8611135532024
5,275019.62270703603,0.24220662356425637,1.3961682939374627,1608.733729422535
6,244044.90855863813,0.24802124001109865,1.2966771381726423,1596.272719986817
7,228692.56655905972,0.2469112402366418,1.3111530130889517,1483.702263395875
8,215262.62317409713,0.2413761890405196,1.3500598073321708,1402.162790888709
9,207377.46956810929,0.22083522162482316,1.4695791143791532,1300.6802427293046
10,199184.71998901805,0.21841302735848234,1.4402147108533305,1229.8059652504967
